version_id,question_number,answer,productive_answer,anchor_question,ccf_code,question_code
ACRAP117,36,NO,FALSE,FALSE,B,D
ACRAP117,37,NO,FALSE,FALSE,B,D
ACRAP117,38,YES,FALSE,FALSE,A,D
ACRAP117,39,YES,FALSE,FALSE,A,D
ACRAP117,40,NOT GIVEN,FALSE,FALSE,C,D
ACRAP117,41,D,FALSE,FALSE,D,D
ACRAP117,42,C,FALSE,FALSE,C,D
ACRAP117,43,B,FALSE,FALSE,B,D
ACRAP117,44,A,FALSE,FALSE,A,D
ACRAP117,45,A,FALSE,FALSE,A,D
